accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type
BML3407542,BML00725,4893,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4=CC=CO4)N)OC,5.598,min,IENZQIKPVFGBNW-UHFFFAOYSA-N,[M-H]-
BML4543930,BML00681;BML00673;BML00689,5056,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O,5.386,min,LUKBXSAWLPMMSZ-UHFFFAOYSA-N,[M-H]-
BML7972293,BML01096,5145,C1=CC=C(C(=C1)CO)OC2C(C(C(C(O2)CO)O)O)O,1.814,min,NGFMICBWJRZIBI-UHFFFAOYSA-N,[M-H]-
BML5042492,BML01335;BML01345;BML01340,5199,C1=CC2=C(C(=C1)OC3C(C(C(C(O3)CO)O)O)O)C(=O)C4=C(C2C5C6=C(C(=CC=C6)OC7C(C(C(C(O7)CO)O)O)O)C(=O)C8=C5C=C(C=C8O)C(=O)O)C=C(C=C4O)C(=O)O,6.351,min,IPQVTOJGNYVQEO-UHFFFAOYSA-N,[M-H]-
BML4465101,BML01404,5280,CC1=CN(C(=O)NC1=O)C2CCC(O2)CO,2.625,min,XKKCQTLDIPIRQD-UHFFFAOYSA-N,[M-H]-
BML4074346,BML00945;BML00939,5529,CC(=CCNC1=NC=NC2=C1N=CN2C3C(C(C(O3)CO)O)O)CO,3.962,min,GOSWTRUMMSCNCW-UHFFFAOYSA-N,[M-H]-
BML6962527,BML01006;BML00998;BML00990,5645,CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C,10.795,min,RUDATBOHQWOJDD-UHFFFAOYSA-N,[M-H]-
BML6181818,BML00276;BML00269;BML00262,5646,CC1=C(C(=C2C(=C1O)C3(C(=CC(=O)C(C3=O)C(=O)C)O2)C)C(=O)C)O,10.751,min,CUCUKLJLRRAKFN-UHFFFAOYSA-N,[M-H]-
BML4295361,BML01036;BML01050;BML01043,5754,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O,7.409,min,JYGXADMDTFJGBT-VWUMJDOOSA-N,[M-H]-
BML8095341,BML00987;BML00995,5959,C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],4.234,min,WIIZWVCIJKGZOK-RKDXNWHRSA-N,[M-H]-
BML7045535,BML00740;BML00733;BML00726,6197,C[C@H]1C[C@@H](C(=O)[C@@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C,5.704,min,YPHMISFOHDHNIV-FSZOTQKASA-N,[M-H]-
BML9748251,BML00270;BML00263,10116,CC1(CCC2C(=C1)CCC3C2(CCCC3(C)C(=O)O)C)C=C,11.517,min,MHVJRKBZMUDEEV-UHFFFAOYSA-N,[M-H]-
BML8945751,BML01051;BML01044;BML01037,10168,C1=CC2=C(C(=C1)O)C(=O)C3=C(C=C(C=C3C2=O)C(=O)O)O,8.552,min,FCDLCPWAQCPTKC-UHFFFAOYSA-N,[M-H]-
BML1318636,BML01181;BML01172;BML01163,10208,CC1=CC(=C2C(=C1)C(=O)C3=C(C2=O)C(=CC=C3)O)O,9.711,min,LQGUBLBATBMXHT-UHFFFAOYSA-N,[M-H]-
BML0691498,BML01272,10436,CC1=CC(=CC(=C1)O)O,1.951,min,OIPPWFOQEKKFEE-UHFFFAOYSA-N,[M-H]-
BML4068733,BML00387;BML00381,10569,CC(C)C1=CC2=CC[C@@H]3[C@@]([C@H]2CC1)(CCC[C@@]3(C)C(=O)O)C,11.557,min,RSWGJHLUYNHPMX-ONCXSQPRSA-N,[M-H]-
BML8284429,BML01103;BML01097,10603,C1C2=CC(=C(C=C2C3C1(COC4=C3C=CC(=C4O)O)O)O)O,2.262,min,WZUVPPKBWHMQCE-UHFFFAOYSA-N,[M-H]-
BML6990590,BML00674;BML00690;BML00682,10621,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O,5.657,min,QUQPHWDTPGMPEX-QJBIFVCTSA-N,[M-H]-
BML2302295,BML00955;BML00943;BML00949,12550,CCCCCCC1C(C(OC(=O)C(C(OC1=O)C)NC(=O)C2=C(C(=CC=C2)NC=O)O)C)OC(=O)CC(C)C,11.631,min,UIFFUZWRFRDZJC-UHFFFAOYSA-N,[M-H]-
BML9137911,BML00556;BML00548;BML01863,20345,C1=COC(=C1)CNC2=NC=NC3=C2N=CN3[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O,4.735,min,CAGLGYNQQSIUGX-SDBHATRESA-N,[M-H]-
BML0215962,BML01738;BML01731,23340,COC(=O)C1=COC(C2C1CC=C2CO)O,4.316,min,AZKVWQKMDGGDSV-UHFFFAOYSA-N,[M-H]-
BML2406946,BML01673;BML01683,25701,C(C(C(=O)O)N)S(=O)(=O)O,0.381,min,XVOYSCVBGLVSOL-UHFFFAOYSA-N,[M-H]-
