accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type
EQ047894,EQ361856;EQ361859;EQ361851;EQ361854;EQ361857;EQ361858;EQ361853;EQ361855;EQ361852,6269,CC1=CC=C(C=C1)S(=O)(=O)N,4.6,min,LMYRWZFENFIFIT-UHFFFAOYSA-N,[M-H]-
EQ644539,EQ367258;EQ367251;EQ367255;EQ367256;EQ367257;EQ367253;EQ367252;EQ367254,6781,CCOC(=O)C1=CC=CC=C1C(=O)OCC,8.7,min,FLKPEMZONWLCSK-UHFFFAOYSA-N,[M-H]-
EQ165002,EQ360559;EQ360553;EQ360555;EQ360551;EQ360558;EQ360557;EQ360552;EQ360554;EQ360556,6924,CC1=CC=CC=C1S(=O)(=O)N,4.6,min,YCMLQMDWSXFTIF-UHFFFAOYSA-N,[M-H]-
EQ563072,EQ359551;EQ359554;EQ359553;EQ359559;EQ359558;EQ359556;EQ359555;EQ359552;EQ359557,7370,C1=CC=C(C=C1)S(=O)(=O)N,3.0,min,KHBQMWCZKVMBLN-UHFFFAOYSA-N,[M-H]-
EQ256356,EQ371653;EQ371651;EQ371655;EQ371657;EQ371658;EQ371654;EQ371652;EQ371656;EQ371659,8422,C1=CC=C2C=C(C=CC2=C1)OCC(=O)O,8.4,min,RZCJYMOBWVJQGV-UHFFFAOYSA-N,[M-H]-
EQ782741,EQ320653;EQ320655;EQ320652;EQ320656;EQ320659;EQ320658;EQ320654;EQ320651;EQ320657,8982,CCOC1=C(C2=CC=CC=C2C=C1)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O,9.7,min,GPXLMGHLHQJAGZ-JTDSTZFVSA-N,[M-H]-
EQ722394,EQ326353;EQ326355;EQ326358;EQ326354;EQ326352;EQ326351;EQ326356;EQ326357;EQ326359,10114,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)(C)C(=O)O,16.9,min,MPDGHEJMBKOTSU-YKLVYJNSSA-N,[M-H]-
EQ098716,EQ337554;EQ337556;EQ337558;EQ337553;EQ337551;EQ337555;EQ337559;EQ337552;EQ337557,13625,C1=CC=C2C(=C1)NC(=O)S2,6.4,min,YEDUAINPPJYDJZ-UHFFFAOYSA-N,[M-H]-
EQ305661,EQ370957;EQ370956;EQ370952;EQ370951;EQ370959;EQ370958;EQ370955;EQ370953;EQ370954,16562,CN(C)C(=O)NC1=CC=CC(=C1)C(F)(F)F,8.0,min,RZILCCPWPBTYDO-UHFFFAOYSA-N,[M-H]-
EQ290947,EQ320453;EQ320451;EQ320452;EQ320455;EQ320454;EQ320456;EQ320458;EQ320459;EQ320457,29863,CN(C)C(=O)NC1=CC(=C(C=C1)OC)Cl,6.0,min,DSRNRYQBBJQVCW-UHFFFAOYSA-N,[M-H]-
