accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type,molecular_formula
RP78357020,RP021613;RP021612;RP021611,11521893,CCCCCCCC(CC(=O)NC1CCOC1=O)O,4.381,min,DOICJCCMIBBSOO-UHFFFAOYSA-N,[M-H]-,C14H25NO4
RP47736163,RP021412;RP021413;RP021411,11579405,CCCC(CC(=O)NC1CCOC1=O)O,2.64,min,CRCIHGGZGGATGM-UHFFFAOYSA-N,[M-H]-,C10H17NO4
RP86136409,RP021512;RP021511;RP021513,11586792,CCCCCC(CC(=O)NC1CCOC1=O)O,3.592,min,XCZVBYOXRSFQBH-UHFFFAOYSA-N,[M-H]-,C12H21NO4
RP62529631,RP021012;RP021011;RP021013,11680589,CCCCCCCC(=O)CC(=O)NC1CCOC1=O,4.591,min,KYGIKEQVUKTKRR-UHFFFAOYSA-N,[M-H]-,C14H23NO4
RP15487906,RP021812;RP021813;RP021811,11681427,CCCCCCCCCCCC(CC(=O)NC1CCOC1=O)O,5.74,min,IKQUESGRCDRZTI-UHFFFAOYSA-N,[M-H]-,C18H33NO4
RP53224456,RP021212;RP021211;RP021213,11688418,CCCCCCCCCCCC(=O)CC(=O)NC1CCOC1=O,5.901,min,YQFJJDSGBAAUPW-UHFFFAOYSA-N,[M-H]-,C18H31NO4
RP59963972,RP029412;RP029411;RP029413,22056978,CC(C1=CC=C(C=C1)O)(C(=O)O)O,2.354,min,HXIPUYVSSGKLFF-UHFFFAOYSA-N,[M-H]-,C9H10O4
RP74026549,RP010713;RP010712;RP010711,22216313,C[C@H](CCCC(C)C(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,6.726,min,PSXQJZDFWDKBIP-NNWQCNCGSA-N,[M-H]-,C27H42O3
RP27269017,RP014512;RP014511;RP014513,22952041,CC(=O)N[C@@H](C=O)[C@@H]([C@H]([C@H](CO)O)O)O,0.617,min,MBLBDJOUHNCFQT-XAMCCFCMSA-N,[M-H]-,C8H15NO6
RP78596019,RP012711;RP012713;RP012712,25322948,C1[C@@H]2[C@@H]([C@@H]([C@H](O2)N3C=NC4=C3N=CN=C4N)O)OP(=O)(O1)O,0.71,min,IVOMOUWHDPKRLL-ASCDQALMSA-N,[M-H]-,C10H12N5O6P
RP04649357,RP029912;RP029913;RP029911,52922059,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)O,7.184,min,UWKNPULCJWBBDD-JRUKXMRZSA-N,[M-H]-,C27H43NO3
RP71467181,RP029812;RP029811;RP029813,52922065,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H]([C@@H](C)CC)C(=O)O,7.236,min,TYWACVZIFBZIQZ-BSFUXZNJSA-N,[M-H]-,C24H45NO3
RP41621639,RP029713;RP029711;RP029712,52922067,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](CC(C)C)C(=O)O,7.257,min,UMOAAMQGRRCHPA-GJCOWUBNSA-N,[M-H]-,C24H45NO3
RP04135131,RP022911;RP022913;RP022912,71308275,C([C@H]([C@@H]([C@H](C(CO)O)O)O)O)O,0.603,min,FBPFZTCFMRRESA-NQAPHZHOSA-N,[M-H]-,C6H14O6
RP39199836,RP010812;RP010813;RP010811,86289629,C[C@H](CCCC(C)C(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3C2=CC[C@@H]4[C@@]3(CCC(=O)C4)C)C,6.824,min,SQTAVUCHOVVOFD-GAMFLDECSA-N,[M-H]-,C27H42O3
RP80557066,RP010211;RP010212;RP010213,86289688,CC1C(CC(C(O1)OC(C)CCCCCC/C=C/C(=O)O)O)O,3.956,min,NEVPBIQTDNVVMK-CSKARUKUSA-N,[M-H]-,C17H30O6
RP31356245,RP030911;RP030912;RP030913,89551892,CC(=O)NC1=NC(=O)N(C=C1)[C@H]2[C@H](C([C@H](O2)CO)O)O,1.186,min,NIDVTARKFBZMOT-HZRXXTQPSA-N,[M-H]-,C11H15N3O6
RP16133802,RP009411;RP009413;RP009412,134160316,CC1[C@@H](CC([C@@H](O1)OC(C)CCC(=O)O)O)OC(=O)CCC(=O)NC[C@@H](C2=CC=C(C=C2)O)O,3.104,min,YHQWACJRIRKIAL-QYURMBASSA-N,[M-H]-,C23H33NO10
RP94211380,RP031712;RP031713;RP031711,135398635,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N=C(NC2=O)N,0.714,min,NYHBQMYGNKIUIF-UUOKFMHZSA-N,[M-H]-,C10H13N5O5
RP24440648,RP013412;RP013413;RP013411,135398658,C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N,2.476,min,OVBPIULPVIDEAO-LBPRGKRZSA-N,[M-H]-,C19H19N7O6
RP48332347,RP031811;RP031813;RP031812,135406950,CO[C@@H]1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=C(NC3=O)N)CO)O,0.902,min,OVYNGSFVYRPRCG-KQYNXXCUSA-N,[M-H]-,C11H15N5O5
RP15893518,RP018513;RP018512;RP018511,135441800,C1=CC=C2C(=C1)N=C3C=CC(=CC3=N2)O,3.679,min,RETSEGNZNUBJRB-UHFFFAOYSA-N,[M-H]-,C12H8N2O
RP42165925,RP031113;RP031111;RP031112,135501639,CN(C)C1=NC2=C(C(=O)N1)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,1.595,min,RSPURTUNRHNVGF-IOSLPCCCSA-N,[M-H]-,C12H17N5O5
RP35556252,RP031912,135501934,CNC1=NC2=C(C(=O)N1)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,0.928,min,SLEHROROQDYRAW-KQYNXXCUSA-N,[M-H]-,C11H15N5O5
RP11867365,RP009612;RP009613;RP009611,137628431,CC1[C@@H](CC([C@@H](O1)OC(C)C[C@@H](CCCC[C@H](CC(=O)O)O)O)O)O,2.778,min,KOPWGKUEIMDQOP-YSEGPLCXSA-N,[M-H]-,C17H32O8
RP52742722,RP009311;RP009312;RP009313,137628558,CC1[C@@H](CC([C@@H](O1)OC(C)CCC(=O)O)O)OC(=O)CCC(=O)NCCC2=CC=C(C=C2)O,3.401,min,VQYVTRPNVGUOGV-WLAKMJJWSA-N,[M-H]-,C23H33NO9
