accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type
UT816081,UT002941;UT001963;UT002214;UT001474;UT002695;UT001221,134777753,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OCC(COP(=O)(O)OCC(CO)O)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,5.19,min,XACKZSRNTPEYBU-GZSOIYOPSA-N,[M-H]-
UT821400,UT001053;UT002523;UT001790,134777845,CCCCCCCCCC/C=C\C/C=C\CCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC,10.2,min,XAYMJCDXSDRVCT-KHVPVUJCSA-N,[M+CH3COO]-
UT846590,UT001139;UT002610;UT001877,134777910,CCCCCCCCCCCCC/C=C\CCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCCC,23.14,min,XBPHCFQOKKXKHJ-IVJZGABJSA-N,[M-H]-
UT327335,UT001441;UT002909;UT002181,134778103,CCCCCCCCCCCCCCCCOCC(COP(=O)(O)OCCN)OC(=O)CC/C=C\CCCCCCCCCCCCC,32.59,min,XDIGIEOFWXOONN-SGEDCAFJSA-N,[M-H]-
UT482642,UT001352;UT001092;UT002092;UT002821;UT002563;UT001831,134778482,CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(CO)COP(=O)([O-])OCC[N+](C)(C)C,1.83,min,XHKVQFBZSMLFNL-AILJCPQKSA-N,[M+CH3COO]-
UT010926,UT001220;UT002940;UT001473;UT002694;UT001962,134778488,CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)(O)OCC(CO)O,6.9,min,XHLZURIDNJOINR-WBRRUXEESA-N,[M-H]-
UT401221,UT001762;UT002497;UT001025,134778634,CCCCCCCCCCC/C=C\CCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\CCCCCCC,10.47,min,XIVMVZLGWNNXST-DGUBAHAQSA-N,[M+CH3COO]-
UT045535,UT002094;UT002823;UT001354,134779452,CCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,11.52,min,XQLJDXRKMXWECX-PAHVTNPFSA-N,[M-H]-
UT237797,UT001761;UT002042;UT001301;UT001024;UT002770;UT002496,134779702,CCCCCCCCCCC/C=C\CCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\CCCCCCCCCC,13.22,min,XSSJXFBQZLYYFK-TVGXXSNYSA-N,[M+CH3COO]-
UT209844,UT002489;UT001753;UT001017;UT001294;UT002763;UT002035,134780092,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\CCCCCCCCC,21.16,min,XWDUIGPTBYOBBP-BQYMPCJESA-N,[M+CH3COO]-
UT710580,UT002599,134780313,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC,22.68,min,XYILASVYBPMWKW-HDSNJYMDSA-N,[M-H]-
UT857770,UT002961;UT001496,134780343,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(C(=O)O)N)OC(=O)CC/C=C\C/C=C\CCCCCCCCCCCC,35.07,min,XYOBNNJBURXNAH-QIPJBBGZSA-N,[M-H]-
UT894086,UT002106,134780648,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC=C,14.38,min,YBNKGCKMYZMAHM-UUNLMLIBSA-N,[M-H]-
UT710088,UT002504;UT001032;UT001769,134781158,CCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC,21.7,min,YGNXCWOMJZJVBI-QEKDUOKRSA-N,[M+CH3COO]-
UT519689,UT001432;UT002172;UT002649;UT001917;UT002900;UT001175,134781472,CCCCCCCCCCCCC/C=C\C/C=C/OCC(COP(=O)(O)OCCN)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC,21.55,min,YJPYELPDWSEQHM-KTUZNUCGSA-N,[M-H]-
UT325471,UT002977;UT001513;UT002737;UT001265;UT002006,134781815,CCCCCCCCCCCCCCCCC(=O)N[C@H](COP(=O)([O-])OCC[N+](C)(C)C)[C@H](/C=C/CCCCCCCCCCCCC)O,23.74,min,YMQZQHIESOAPQH-QSTWNKESSA-N,[M+CH3COO]-
UT799491,UT001951;UT002683;UT001209,134781870,CCCCCCCCCCCCC/C=C\CCC(=O)OCC(COP(=O)(O)OCC(CO)O)OC(=O)CC/C=C\C/C=C\CCCCCCCCCC,10.67,min,YNBZQPMSTPSIJD-XBCPOCNBSA-N,[M-H]-
UT694810,UT002593;UT001861;UT002115;UT001374;UT001123;UT002843,134781978,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CC/C=C\CCCCCCCCCCCCC,35.06,min,YNUVHPZRNQDFHS-HYOGKJQXSA-N,[M-H]-
UT948079,UT002689;UT001957;UT001215,134782098,CCCCCCCCCC/C=C\C/C=C\CCC(=O)OCC(COP(=O)(O)OCC(CO)O)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC,7.08,min,YOXNNFKWZGKUBQ-IPVVXUKZSA-N,[M-H]-
UT124418,UT001295;UT002764;UT002036;UT001018;UT002490;UT001754,134782330,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC,18.11,min,YRCYEVIWNSLKRF-RZUUUYDYSA-N,[M+CH3COO]-
UT600569,UT001269;UT002010,134783033,CCCCCCCCCCCCCCCCCCCCC(=O)N[C@H](COP(=O)([O-])OCC[N+](C)(C)C)[C@H](/C=C/CCCCCCCCCCCCC)O,42.17,min,YXSZOBWVQJIWNE-LUJNSPTCSA-N,[M+CH3COO]-
UT465303,UT002971;UT002245;UT001506,134783437,CCCCCCCCCCCCC/C=C\CCC(=O)OCC(COP(=O)(O)OCC(C(=O)O)N)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,15.27,min,ZBHJZQBBODCTLM-QRPORDCISA-N,[M-H]-
UT369847,UT001508;UT002973;UT002247,134784001,CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OCC(COP(=O)(O)OCC(C(=O)O)N)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,9.72,min,ZGLJCKUIELGDPR-YARNEYDXSA-N,[M-H]-
UT281510,UT002919;UT002191;UT001451,134784032,CCCCCCCCCCCCCCCCCCOCC(COP(=O)(O)OCCN)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCCC,38.43,min,ZGPUIIVBMRUOLZ-CXMGKGRNSA-N,[M-H]-
UT752307,UT002837;UT001368;UT001113;UT002582;UT002109;UT001851,134784301,CCCCCCCCCCC/C=C\CCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,11.21,min,ZJBSZOUPRJVSRB-SIEWZCRLSA-N,[M-H]-
UT735700,UT001466;UT002206;UT002934,134784536,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(CO)O)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC,21.11,min,ZLCQYNUSDYQZNJ-NQWSYULSSA-N,[M-H]-
UT394486,UT001773,134784900,CCCCCCCCCCCC/C=C\CCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,13.25,min,ZOGZAROTKOYYRM-OOCWWCMUSA-N,[M+CH3COO]-
UT634023,UT001335;UT002075;UT002804,134785886,CCCCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\CCCCCCCCCCCCCCC,38.57,min,ZWYHSOBLODWFSU-FPODKLOTSA-N,[M+CH3COO]-
