accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type
AU791798,AU229660;AU229662;AU229659;AU229658,5794,CCCCOCCOCCOCC1=CC2=C(C=C1CCC)OCO2,13.776,min,FIPWRIJSWJWJAI-UHFFFAOYSA-N,[M-H]-
AU410823,AU240160;AU240159;AU240157;AU240158,5865,C[C@]12CC(=O)[C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C,7.148,min,XOFYZVNMUHMLCC-ZPOLXVRWSA-N,[M-H]-
AU094366,AU239160;AU239159;AU239157;AU239158,5870,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)O,9.478,min,DNXHEGUUPJUMQT-CBZIJGRNSA-N,[M-H]-
AU574952,AU108455;AU108453;AU108452;AU108451;AU108454,6034,CCOC1=C(C=CC(=C1)NC(=O)C)C(=O)OC,6.269,min,GOVWOKSKFSBNGD-UHFFFAOYSA-N,[M-H]-
AU472813,AU240257;AU240258;AU240259,6215,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)C[C@@H](C5=CC(=O)C=C[C@@]53C)F)F)O,8.988,min,FEBLZLNTKCEFIT-VSXGLTOVSA-N,[M-H]-
AU186357,AU237062;AU237058;AU237059;AU237060;AU237057,6626,C1=CC(=CC=C1O)S(=O)(=O)C2=CC=C(C=C2)O,5.218,min,VPWNQTHUCYMVMZ-UHFFFAOYSA-N,[M-H]-
AU147443,AU233059;AU233057;AU233060;AU233058,6950,CCC(C)C1=CC(=CC(=C1O)[N+](=O)[O-])[N+](=O)[O-],7.951,min,OWZPCEFYPSAJFR-UHFFFAOYSA-N,[M-H]-
AU563973,AU237259;AU237258;AU237257;AU237262,7175,CCCOC(=O)C1=CC=C(C=C1)O,8.291,min,QELSKZZBTMNZEB-UHFFFAOYSA-N,[M-H]-
AU486832,AU236859;AU236862;AU236858;AU236857,7184,CCCCOC(=O)C1=CC=C(C=C1)O,9.403,min,QFOHBWFCKVYLES-UHFFFAOYSA-N,[M-H]-
AU160934,AU241457;AU241462;AU241458,7220,C1=CC2=NNN=C2C=C1,4.677,min,QRUDEWIWKLJBPS-UHFFFAOYSA-N,[M-H]-
AU988574,AU238857;AU238858;AU238862,7371,C1=CC=C(C=C1)S(=O)(=O)O,2.582,min,SRSXLGNVWSONIS-UHFFFAOYSA-N,[M-H]-
AU425954,AU237158;AU237157;AU237162,7456,COC(=O)C1=CC=C(C=C1)O,5.963,min,LXCFILQKKLGQFO-UHFFFAOYSA-N,[M-H]-
AU390575,AU237962;AU237959;AU237957;AU237958,7533,C1CCC(CC1)NS(=O)(=O)O,3.904,min,HCAJEUSONLESMK-UHFFFAOYSA-N,[M-H]-
AU478172,AU241758;AU241757;AU241759;AU241762;AU241760,7547,C1=CC(=CC=C1NC(=O)NC2=CC(=C(C=C2)Cl)Cl)Cl,11.829,min,ICUTUKXCWQYESQ-UHFFFAOYSA-N,[M-H]-
AU507818,AU239060;AU239062;AU239058;AU239057;AU239059,8408,C1=CC2=C(C=CC(=C2)S(=O)(=O)O)C(=C1)N,3.049,min,UWPJYQYRSWYIGZ-UHFFFAOYSA-N,[M-H]-
AU527179,AU230060;AU230057;AU230058;AU230059,8420,C1=CC=C2C=C(C=CC2=C1)S(=O)(=O)O,4.769,min,KVBGVZZKJNLNJU-UHFFFAOYSA-N,[M-H]-
AU292454,AU236662;AU236659;AU236658;AU236657,8425,C1=CC=C(C=C1)CC2=C(C=CC(=C2)Cl)O,10.911,min,NCKMMSIFQUPKCK-UHFFFAOYSA-N,[M-H]-
AU817936,AU236757;AU236758;AU236759;AU236762,8434,CCOC(=O)C1=CC=C(C=C1)O,7.067,min,NUVBSKCKDOMJSU-UHFFFAOYSA-N,[M-H]-
AU434656,AU241658;AU241659;AU241662;AU241657,8705,CC1=CC2=NNN=C2C=C1,5.739,min,LRUDIIUSNGCQKF-UHFFFAOYSA-N,[M-H]-
AU255582,AU240762;AU240759;AU240757;AU240758,8778,CCCCCCCCCCCCOS(=O)(=O)O,11.56,min,MOTZDAYCYVMXPC-UHFFFAOYSA-N,[M-H]-
AU640915,AU232359;AU232360;AU232357;AU232358,9502,CN(C(=O)NC1=CC(=C(C=C1)Cl)Cl)OC,9.251,min,XKJMBINCVNINCA-UHFFFAOYSA-N,[M-H]-
AU574475,AU240458;AU240459;AU240460;AU240457;AU240462,9554,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,9.673,min,SNGREZUHAYWORS-UHFFFAOYSA-N,[M-H]-
AU219023,AU240359;AU240362;AU240358;AU240360;AU240357,9555,C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,11.059,min,PCIUEQPBYFRTEM-UHFFFAOYSA-N,[M-H]-
AU948655,AU238158;AU238157;AU238162,9777,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,4.873,min,YPJUNDFVDDCYIH-UHFFFAOYSA-N,[M-H]-
AU253891,AU239560;AU239559;AU239557;AU239558,10631,C[C@H]1C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)O)C)[C@@]4(C1=CC(=O)CC4)C,10.675,min,FRQMUZJSZHZSGN-HBNHAYAOSA-N,[M-H]-
AU120054,AU237360;AU237358;AU237359;AU237357;AU237362,11859,C1=C(C=C(C(=C1Cl)Cl)Cl)O,10.691,min,GBNHEBQXJVDXSW-UHFFFAOYSA-N,[M-H]-
AU711432,AU230158;AU230157;AU230159,13282,C1=CC=C(C=C1)OP(=O)(O)OC2=CC=CC=C2,6.401,min,ASMQGLCHMVWBQR-UHFFFAOYSA-N,[M-H]-
AU297119,AU405951;AU405952,13625,C1=CC=C2C(=C1)NC(=O)S2,6.447,min,YEDUAINPPJYDJZ-UHFFFAOYSA-N,[M-H]-
AU656267,AU236957;AU236962;AU236958;AU236960,14385,C1=CC(=C(C=C1NC(=O)C2=CC(=CC(=C2O)Cl)Cl)Cl)Cl,10.66,min,SJQBHPJLLIJASD-UHFFFAOYSA-N,[M-H]-
AU256338,AU231758;AU231757,15546,C1=CC=C(C=C1)N2C(=O)C(=C(C=N2)N)Cl,5.269,min,WYKYKTKDBLFHCY-UHFFFAOYSA-N,[M-H]-
AU960783,AU241857;AU241862;AU241859;AU400351;AU400352;AU241858,16854,C1=CC(=C(C=C1NC(=O)N)Cl)Cl,7.788,min,CYESCLHCWJKRKM-UHFFFAOYSA-N,[M-H]-
AU570138,AU400152;AU400154;AU400151;AU400153,19113,CNC(=O)NC1=CC(=C(C=C1)Cl)Cl,8.293,min,IDQHRQQSSQDLTR-UHFFFAOYSA-N,[M-H]-
AU618856,AU229959;AU229957;AU229958,19241,CCCCNS(=O)(=O)C1=CC=CC=C1,7.707,min,IPRJXAGUEGOFGG-UHFFFAOYSA-N,[M-H]-
AU563496,AU200551,19539,C1=CC=C(C=C1)OC2=CC=CC(=C2)C(=O)O,6.387,min,NXTDJHZGHOFSQG-UHFFFAOYSA-N,[M-H]-
AU324159,AU231457;AU231458,27375,CC1=C(C=C(C=C1)NC(=O)N(C)C)Cl,7.988,min,JXCGFZXSOMJFOA-UHFFFAOYSA-N,[M-H]-
AU842281,AU233360;AU233357;AU233358;AU233359,29393,CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])S(=O)(=O)N)[N+](=O)[O-],10.227,min,UNAHYJYOSSSJHH-UHFFFAOYSA-N,[M-H]-
AU511483,AU240060;AU240059;AU240058;AU240057,31307,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@H]([C@@]2(C(=O)CO)O)O)CCC4=CC(=O)C=C[C@@]43C)F)O,6.328,min,GFNANZIMVAIWHM-OBYCQNJPSA-N,[M-H]-
AU799316,AU232158;AU232157;AU232159,32154,CC(C)(C#C)NC(=O)C1=CC(=CC(=C1)Cl)Cl,9.696,min,PHNUZKMIPFFYSO-UHFFFAOYSA-N,[M-H]-
AU603653,AU232460;AU232459;AU232458;AU232457,34217,C(#N)C1=C(C(=C(C(=C1Cl)C#N)Cl)Cl)O,7.449,min,MDQKYGOECVSPIW-UHFFFAOYSA-N,[M-H]-
AU582124,AU237762;AU237757,36573,CC1=CC(=O)NS(=O)(=O)O1,2.34,min,YGCFIWIQZPHFLU-UHFFFAOYSA-N,[M-H]-
AU129428,AU233258;AU233257;AU233260;AU233259,37123,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC=C(C=C2)Cl)F,10.552,min,QQQYTWIFVNKMRW-UHFFFAOYSA-N,[M-H]-
AU589974,AU236459;AU236458;AU236457;AU236460,37907,CC(C)(C)C(=O)C(N1C=CN=C1)OC2=CC=C(C=C2)Cl,10.057,min,OWEGWHBOCFMBLP-UHFFFAOYSA-N,[M-H]-
AU120212,AU231660;AU231659;AU231658;AU231657,38854,CC1=NN=C(C(=O)N1N)C2=CC=CC=C2,5.169,min,VHCNQEUWZYOAEV-UHFFFAOYSA-N,[M-H]-
AU725895,AU234159;AU234157;AU234158;AU234160,39042,CC(C)(C(=O)O)OC1=CC=C(C=C1)CCNC(=O)C2=CC=C(C=C2)Cl,7.584,min,IIBYAHWJQTYFKB-UHFFFAOYSA-N,[M-H]-
AU864967,AU236560;AU236559;AU236558;AU236557,41781,CC1=CC(=CC=C1)NC2=C(C=NC=C2)S(=O)(=O)NC(=O)NC(C)C,7.163,min,NGBFQHCMQULJNZ-UHFFFAOYSA-N,[M-H]-
AU796238,AU106751;AU106754;AU106753;AU106755;AU106752,50248,CSC1=NC2=CC(=C(C=C2N1)Cl)OC3=C(C(=CC=C3)Cl)Cl,11.619,min,NQPDXQQQCQDHHW-UHFFFAOYSA-N,[M-H]-
AU912636,AU229457;AU229462;AU229459;AU229458,53462,CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N,5.009,min,ARZWATDYIYAUTA-UHFFFAOYSA-N,[M-H]-
AU459178,AU224751;AU224753;AU224752;AU224755;AU224754,55891,CCC(=O)OC(C(C)C)OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N2C[C@@H](C[C@H]2C(=O)O)C3CCCCC3,11.541,min,BIDNLKIUORFRQP-FKDWWROVSA-N,[M-H]-
AU350228,AU112953;AU112955;AU112952;AU112951;AU112954,60823,CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4,9.203,min,XUKUURHRXDUEBC-KAYWLYCHSA-N,[M-H]-
AU652442,AU111253;AU111251;AU111252;AU111254,60846,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)[C@@H](C(C)C)C(=O)O,6.522,min,ACWBQPMHZXGDFX-QFIPXVFZSA-N,[M-H]-
AU525738,AU235357;AU235360;AU235358;AU235359,60953,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@H]2[C@@H]([C@@H]([C@H](O2)C)O)O,7.453,min,GAGWJHPBXLXJQN-UORFTKCHSA-N,[M-H]-
AU976959,AU201451;AU201452;AU201453;AU201454,65280,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)C,3.652,min,GXPIUNZCALHVBA-UHFFFAOYSA-N,[M-H]-
AU026282,AU218953;AU218951;AU218952,65981,CCOC1=C(C=CC(=C1)CC(=O)N[C@@H](CC(C)C)C2=CC=CC=C2N3CCCCC3)C(=O)O,11.128,min,FAEKWTJYAYMJKF-QHCPKHFHSA-N,[M-H]-
AU170694,AU225154;AU225152;AU225153;AU225155;AU225151,65999,CCCC1=NC2=C(C=C(C=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C(=O)O)C5=NC6=CC=CC=C6N5C)C,9.547,min,RMMXLENWKUUMAY-UHFFFAOYSA-N,[M-H]-
AU567540,AU230862,66760,C1=CC2=NNN=C2C=C1Cl,6.379,min,PZBQVZFITSVHAW-UHFFFAOYSA-N,[M-H]-
AU476158,AU231159;AU231158;AU231157;AU231162;AU231160,67310,COC(=O)C1=CC(=CC(=C1)S(=O)(=O)O)C(=O)OC,4.485,min,HTXMGVTWXZBZNC-UHFFFAOYSA-N,[M-H]-
AU156074,AU240659;AU240658;AU240657;AU240662,67542,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,7.747,min,PXUULQAPEKKVAH-UHFFFAOYSA-N,[M-H]-
AU231306,AU241057;AU241060;AU241062;AU241058;AU241059,67818,C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,8.799,min,ZWBAMYVPMDSJGQ-UHFFFAOYSA-N,[M-H]-
AU992035,AU240960;AU240958;AU240962;AU240959;AU240957,67822,C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,12.842,min,RUDINRUXCKIXAJ-UHFFFAOYSA-N,[M-H]-
AU139217,AU200953;AU200952;AU200951,67874,C1=CC(=CC=C1C(F)(F)F)O,8.161,min,BAYGVMXZJBFEMB-UHFFFAOYSA-N,[M-H]-
AU074422,AU230360;AU230359;AU230357;AU230358,69785,C(C(C(C(C(F)(F)S(=O)(=O)N)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,11.456,min,RRRXPPIDPYTNJG-UHFFFAOYSA-N,[M-H]-
AU702683,AU368853;AU368852;AU368851,73674,CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=C(SC=C2)C(=O)OC,4.223,min,AHTPATJNIAFOLR-UHFFFAOYSA-N,[M-H]-
AU968475,AU240557;AU240558;AU240559;AU240562;AU240560,74483,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,10.083,min,YFSUTJLHUFNCNZ-UHFFFAOYSA-N,[M-H]-
AU549402,AU204252;AU204251,78441,CN(C)S(=O)(=O)NC1=CC=CC=C1,6.102,min,QCDQDISRALTLNQ-UHFFFAOYSA-N,[M-H]-
AU372596,AU237462,84907,C1=C(C=C(C(=C1Br)O)CC2=CC(=CC(=C2O)Br)Cl)Cl,12.114,min,TYBHZVUFOINFDV-UHFFFAOYSA-N,[M-H]-
AU787049,AU232258;AU303651;AU232257,86418,C1CN(C(=N1)N[N+](=O)[O-])CC2=CN=C(C=C2)Cl,4.651,min,YWTYJOPNNQFBPC-UHFFFAOYSA-N,[M-H]-
AU788793,AU405551;AU405553;AU405552,88761,C1=CC=C2C(=C1)N=NN2Cl,6.301,min,INOGLHRUEYDAHX-UHFFFAOYSA-N,[M-H]-
AU460441,AU231560;AU231558;AU231557;AU231559,91735,C1=CC(=CC(=C1)OC2=C(C=CC=N2)C(=O)NC3=C(C=C(C=C3)F)F)C(F)(F)F,11.705,min,WYEHFWKAOXOVJD-UHFFFAOYSA-N,[M-H]-
AU057803,AU231858;AU231860;AU231857;AU231859,91755,CNC1=C(C(=O)C(O1)C2=CC=CC=C2)C3=CC(=CC=C3)C(F)(F)F,9.126,min,NYRMIJKDBAQCHC-UHFFFAOYSA-N,[M-H]-
AU715743,AU238659;AU238658;AU238657;AU238662;AU238660,91760,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)Cl,3.752,min,PQTBTIFWAXVEPB-UHFFFAOYSA-N,[M-H]-
AU897440,AU233459;AU233460;AU233458;AU233457,91766,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=C(C=C(C=C2)OC3=C(C=C(C=C3)C(F)(F)F)Cl)F)F,12.776,min,RYLHNOVXKPXDIP-UHFFFAOYSA-N,[M-H]-
AU265162,AU230457;AU230458;AU230459;AU230460,119688,C(CS(=O)(=O)O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,9.636,min,VIONGDJUYAYOPU-UHFFFAOYSA-N,[M-H]-
AU163847,AU234757;AU234758;AU234760;AU234759,129274,C1=CC=C2C(=C1)C=CC3=C(N2C(=O)N)C=CC(=C3)O,5.993,min,VPZIYMMSJFWLSP-UHFFFAOYSA-N,[M-H]-
