accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey
PR960886,PR307926;PR307934;PR307935;PR307931;PR307933;PR307929;PR307932;PR308741;PR307930;PR307927;PR307928,4865,COC1=CC(=CC(=C1OC)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)O,6.26,min,YJGVMLPVUAXIQN-UHFFFAOYSA-N
PR968040,PR304950;PR304952;PR304940;PR304946;PR304942;PR304954;PR308888;PR304962;PR304948;PR304944;PR304958;PR304956;PR304960,5052,COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,6.098567,min,QEVHRUUCFGRFIF-UHFFFAOYSA-N
PR418033,PR304957;PR304939;PR304955;PR308887;PR304943;PR304941;PR304945;PR304947;PR304951;PR304961;PR304959;PR304953;PR304949,5052,COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,6.098567,min,QEVHRUUCFGRFIF-UHFFFAOYSA-N
PR983649,PR308211;PR308213;PR306249;PR308225;PR306225;PR306255;PR308203;PR306213;PR306267;PR308221;PR308223;PR306279;PR308717;PR308215;PR306237;PR306273;PR308217;PR306243;PR308205;PR308209;PR308207;PR306231;PR308219;PR306219;PR306261,5056,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O,5.0,min,LUKBXSAWLPMMSZ-UHFFFAOYSA-N
PR067332,PR305766;PR305691;PR305753;PR305712;PR305698;PR305719;PR305705;PR305746;PR308806;PR305739;PR305732;PR305759;PR305726,5099,C1=CC(=C(C=C1CC(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,4.63,min,DOUMFZQKYFQNTF-UHFFFAOYSA-N
PR302652,PR307562;PR307567;PR307539;PR308827;PR307527;PR307557;PR307579;PR307545;PR307551;PR307573;PR307533;PR307585;PR307521,5199,C1=CC2=C(C(=C1)OC3C(C(C(C(O3)CO)O)O)O)C(=O)C4=C(C2C5C6=C(C(=CC=C6)OC7C(C(C(C(O7)CO)O)O)O)C(=O)C8=C5C=C(C=C8O)C(=O)O)C=C(C=C4O)C(=O)O,3.82,min,IPQVTOJGNYVQEO-UHFFFAOYSA-N
PR015279,PR307218;PR307216;PR307228;PR307223;PR307221;PR307226;PR307230;PR309430,5350,CS(=O)CCCCN=C=S,3.7,min,SUVMJBTUFCVSAD-UHFFFAOYSA-N
PR679872,PR305171;PR305169;PR305166;PR305174;PR305163;PR305160;PR305183;PR308892;PR305158,5367,CCOC(=O)OC1=C(C=C(C=C1OC)C(=O)OC2CC3CN4CCC5=C(C4CC3C(C2OC)C(=O)OC)NC6=C5C=CC(=C6)OC)OC,6.72,min,ZCDNRPPFBQDQHR-UHFFFAOYSA-N
PR596187,PR308889;PR305173;PR305165;PR305178;PR305184;PR305157;PR305180;PR305182;PR305168;PR305162;PR305176,5367,CCOC(=O)OC1=C(C=C(C=C1OC)C(=O)OC2CC3CN4CCC5=C(C4CC3C(C2OC)C(=O)OC)NC6=C5C=CC(=C6)OC)OC,6.72,min,ZCDNRPPFBQDQHR-UHFFFAOYSA-N
PR650136,PR309073,5423,CCCCCC=CCC(C=CC=CCCC(=O)O)O,8.17,min,KBOVKDIBOBQLRS-UHFFFAOYSA-N
PR060996,PR308990,5513,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CCC6C5(CCC(C6)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)CO)O)OC9C(C(C(CO9)O)O)O)OC2C(C(C(C(O2)CO)O)O)O)O)O)C)C)C)NC1,4.78,min,REJLGAUYTKNVJM-UHFFFAOYSA-N
PR930378,PR308958;PR309118,8778,CCCCCCCCCCCCOS(=O)(=O)O,7.82,min,MOTZDAYCYVMXPC-UHFFFAOYSA-N
PR596297,PR307046;PR307044;PR307049;PR308807;PR307051;PR307058;PR307056;PR307042;PR307054,8784,C1=CC=C(C=C1)C=CC(=O)O,5.85,min,WBYWAXJHAXSJNI-UHFFFAOYSA-N
PR592429,PR309103,8839,CCCCCCC(CC=CCCCCCCCC(=O)O)O,10.08,min,WBHHMMIMDMUBKC-UHFFFAOYSA-N
PR534986,PR307066;PR307084;PR307087;PR307074;PR307090;PR308800;PR307069;PR307076;PR307063;PR307079,9984,COC1=C(C=CC(=C1)C=CC=O)O,4.778316,min,DKZBBWMURDFHNE-UHFFFAOYSA-N
PR440752,PR306571;PR306589;PR306583;PR306610;PR306577;PR306553;PR306605;PR306599;PR306615;PR309394;PR306594;PR306565;PR306559,10207,C1=CC2=C(C(=C1)O)C(=O)C3=C(C=C(C=C3C2=O)CO)O,5.8893,min,YDQWDHRMZQUTBA-UHFFFAOYSA-N
PR922475,PR309130,10457,C(CCCC(=O)O)CCC(=O)O,4.1,min,TYFQFVWCELRYAO-UHFFFAOYSA-N
