accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey
BS722933,BS003031;BS003032;BS003029;BS003030;BS003027,439246,C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,554.4,sec,FTVWIRXFELQLPI-ZDUSSCGKSA-N
BS299398,BS003045;BS003044,439533,C1=CC(=C(C=C1[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,268.48,sec,CXQWRCVTCMQVQX-LSDHHAIUSA-N
BS276802,BS003464;BS003468;BS003463;BS003465,440735,C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(C=C3)O)O,456.6,sec,SBHXYTNGIZCORC-ZDUSSCGKSA-N
BS800823,BS003924;BS003923;BS003922,440833,C1=CC(=C(C=C1[C@@H]2[C@H]([C@H](C3=C(C=C(C=C3O2)O)O)O)O)O)O,85.8,sec,SBZWTSHAFILOTE-SOUVJXGZSA-N
BS340973,BS003666;BS003668;BS003667;BS003669;BS003665,441381,C1=CC(=CC=C1C2=CC(=O)C3=C(C(=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O)O,240.6,sec,HGUVPEBGCAVWID-KETMJRJWSA-N
BS174840,BS003683;BS003684;BS003685;BS003686,441764,COC1=C(C=CC(=C1)[C@H]2[C@@H](C3=C(O2)C(=CC(=C3)[C@@H]4[C@H](C(=O)C5=C(C=C(C=C5O4)O)O)O)O)CO)O,447.0,sec,BMLIIPOXVWESJG-LMBCONBSSA-N
BS029130,BS003384;BS003385;BS003382;BS003386;BS003383,442428,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O,393.6,sec,DFPMSGMNTNDNHN-ZPHOTFPESA-N
BS283272,BS003655;BS003651;BS003654;BS003652,442439,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC(=C(C=C5)OC)O)O)CO)O)O)O)O)O,447.0,sec,ARGKVCXINMKCAZ-UZRWAPQLSA-N
BS395224,BS003484;BS003483;BS003488;BS003487;BS003482,442813,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,489.0,sec,MGJLSBDCWOSMHL-MIUGBVLSSA-N
BS986289,BS003095;BS003096,442911,CC(C)CC(=O)C1=C(C(=C([C@@](C1=O)(CC=C(C)C)O)O)CC=C(C)C)O,1570.8,sec,VMSLCPKYRPDHLN-OAQYLSRUSA-N
BS435825,BS003978;BS003982;BS003979,444899,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,1782.6,sec,YZXBAPSDXZZRGB-DOFZRALJSA-N
BS244425,BS003070;BS003069;BS003071;BS003068,445154,C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O,386.4,sec,LUKBXSAWLPMMSZ-OWOJBTEDSA-N
BS209619,BS003993;BS003994,445638,CCCCCC/C=C\CCCCCCCC(=O)O,1733.4,sec,SECPZKHBENQXJG-FPLPWBNLSA-N
BS069804,BS003989;BS003988;BS003990,445639,CCCCCCCC/C=C\CCCCCCCC(=O)O,1905.0,sec,ZQPPMHVWECSIRJ-KTKRTIGZSA-N
BS719702,BS003002;BS003003;BS003001;BS003000,480764,CC(=CCC1=C(C=C(C2=C1O[C@@H](CC2=O)C3=CC=C(C=C3)O)O)O)C,952.8,sec,LPEPZZAVFJPLNZ-SFHVURJKSA-N
BS848302,BS003211;BS003209;BS003212,513197,CC(=CCC1=C(C=C(C2=C1OC(CC2=O)C3=CC=C(C=C3)O)OC)O)C,823.8,sec,YKGCBLWILMDSAV-UHFFFAOYSA-N
BS028039,BS003671;BS003673;BS003675;BS003670;BS003672,633124,COC1=CC(=CC(=C1OC)O)C2=CC(=O)C3=C(O2)C(=C(C(=C3O)OC)O)OC,722.4,sec,NYKXAPFHNLNAIJ-UHFFFAOYSA-N
BS564601,BS003138;BS003142;BS003137;BS003141;BS003140,637234,C[C@@]12CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@H]([C@]5(C)C(=O)O)O)C)C)[C@@H]1CC(CC2)(C)C)C,1946.4,sec,BZXULBWGROURAF-IKNLXHIFSA-N
BS751976,BS003260,638278,C1=CC(=CC=C1/C=C/C(=O)C2=C(C=C(C=C2)O)O)O,670.2,sec,DXDRHHKMWQZJHT-FPYGCLRLSA-N
BS841886,BS003122,639665,CC(=CCC1=C(C=C(C(=C1O)C(=O)/C=C/C2=CC=C(C=C2)O)OC)O)C,1230.6,sec,ORXQGKIUCDPEAJ-YRNVUSSQSA-N
BS219815,BS003448;BS003445;BS003447;BS003449,667581,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=CC(=C3)O)O)O)O,406.8,sec,BXPBSBBFPNTFFT-UHFFFAOYSA-N
BS391831,BS003864;BS003865;BS003863,688718,C1=CC(=C(C=C1O)O)C2=C(C(=O)C3=C(O2)C=CC(=C3)O)O,384.6,sec,DNISTMYBAOCXPD-UHFFFAOYSA-N
BS826476,BS003451;BS003454;BS003452;BS003453,688828,C1=CC(=C(C(=C1)O)O)C2=C(C(=O)C3=C(O2)C=CC(=C3)O)O,475.2,sec,KQRPHHDERPYSPX-UHFFFAOYSA-N
BS962083,BS003972;BS003969;BS003967;BS003968;BS003970,736186,COC1=C(C=C(C=C1)/C=C/C(=O)O)O,293.4,sec,QURCVMIEKCOAJU-HWKANZROSA-N
BS766812,BS003849;BS003848;BS003850;BS003846,1548994,COC1=C(C=CC(=C1)[C@H]2[C@@H](OC3=C(O2)C=C(C=C3)[C@@H]4[C@H](C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,601.8,sec,SEBFKMXJBCUCAI-WAABAYLZSA-N
BS245160,BS003575;BS003576,2734580,C1C(OC2=C(C1=O)C=C(C=C2)O)C3=CC=CC=C3,781.2,sec,XYHWPQUEOOBIOW-UHFFFAOYSA-N
BS058890,BS003677;BS003680;BS003681;BS003676;BS003679,3084390,COC1=C(C(=C2C(=C1)OC(=CC2=O)C3=CC=C(C=C3)O)O)O,538.8,sec,UWARRXZVZDFPQU-UHFFFAOYSA-N
BS082458,BS003087;BS003083;BS003085;BS003086,3519901,CC(=CCC1=C(C=C2C(=C1O)C(=O)CC(O2)C3=CC=C(C=C3)O)O)C,1120.8,sec,YHWNASRGLKJRJJ-UHFFFAOYSA-N
BS133666,BS003743;BS003739;BS003740;BS003742;BS003741,5271551,COC1=CC(=C2C(=O)CC(OC2=C1)C3=CC=C(C=C3)O)OC,638.4,sec,REBBZOCNEVVAPX-UHFFFAOYSA-N
BS436632,BS003603;BS003602;BS003605;BS003601;BS003604,5273755,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)O)OC)O)OC,808.2,sec,DRRWBCNQOKKKOL-UHFFFAOYSA-N
BS518111,BS003396;BS003398;BS003390;BS003394;BS003391;BS003393;BS003392;BS003395;BS003387,5280343,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,483.6,sec,REFJWTPEDVJJIY-UHFFFAOYSA-N
BS362666,BS003038;BS003041;BS003039;BS003037,5280373,COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O,882.699,sec,WUADCCWRTIWANL-UHFFFAOYSA-N
BS683293,BS003356;BS003354;BS003357;BS003358;BS003355,5280378,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O,720.0,sec,HKQYGTCOTHHOMP-UHFFFAOYSA-N
BS708003,BS003308;BS003307;BS003304;BS003305;BS003309,5280441,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,297.0,sec,SGEWCQFRYRRZDC-VPRICQMDSA-N
BS338752,BS003806;BS003807;BS003804,5280442,COC1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,811.2,sec,DANYIYRPLHHOCZ-UHFFFAOYSA-N
BS777353,BS003047,5280443,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,580.837,sec,KZNIFHPLKGYRTM-UHFFFAOYSA-N
BS723361,BS003099,5280445,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,490.01,sec,IQPNAANSBPBGFQ-UHFFFAOYSA-N
BS521876,BS001066;BS001067;BS001068,5280450,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,1791.6,sec,OYHQOLUKZRVURQ-HZJYTTRNSA-N
BS551014,BS003205;BS003203;BS003206;BS003207,5280459,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O,366.6,sec,OXGUCUVFOIWWQJ-HQBVPOQASA-N
BS517313,BS003272;BS003274;BS003270;BS003273,5280460,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,263.4,sec,RODXRVNMMDRFIK-UHFFFAOYSA-N
BS176864,BS003114,5280567,CC1=CC(=O)OC2=C1C=CC(=C2)O,345.6,sec,HSHNITRMYYLLCV-UHFFFAOYSA-N
BS809523,BS004022;BS004024;BS004023,5280644,CCCCCC/C=C/C=C\CCCCCCCC(=O)O,1820.4,sec,JBYXPOFIGCOSSB-GOJKSUSPSA-N
BS912986,BS003344;BS003343;BS003342,5280666,COC1=C(C=CC(=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,624.6,sec,SCZVLDHREVKTSH-UHFFFAOYSA-N
BS990656,BS003712;BS003711;BS003710;BS003713;BS003714,5280704,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,388.2,sec,KMOUJOKENFFTPU-QNDFHXLGSA-N
BS894680,BS003829;BS003828;BS003825;BS003824;BS003826,5280746,C1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)O)O)CO)O)O)O)(CO)O,387.6,sec,NTDLXWMIWOECHG-YRCFQSNFSA-N
BS879220,BS003323;BS003329;BS003320;BS003319;BS003317;BS003326;BS003330;BS003315;BS003331;BS003316;BS003324;BS003328;BS003322;BS003327;BS003325,5280781,COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,613.8,sec,LFEUICHQZGNOHD-RECXWPGBSA-N
BS721582,BS003076,5280805,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,295.2,sec,IKGXIBQEEMLURG-NVPNHPEKSA-N
