accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type
LQB6671595,LQB00600;LQB00214,138119793,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,9.096052,min,AMKOUQLHUASJMB-HHHWHCSPSA-N,[M-H]-
LQB6996524,LQB00629;LQB00628;LQB00243;LQB00242,138121875,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(CO)O)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC,8.10702,min,ATBOMIWRCZXYSZ-BCTRXSSUSA-N,[M-H]-
LQB1194122,LQB00637;LQB00251,138122506,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(CO)O)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,8.398577,min,AUXSCXICKMGRJE-SFVLIGPRSA-N,[M-H]-
LQB4889323,LQB00294;LQB00679;LQB00293;LQB00680,138130059,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OC1C(C(C(C(C1O)O)O)O)O)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC,8.299026,min,BSNJSZUDOMPYIR-BCTRXSSUSA-N,[M-H]-
LQB6831874,LQB00182;LQB00183;LQB00569;LQB00568,138131789,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,9.534964,min,BXSFSSDQHFBPDQ-SFVLIGPRSA-N,[M-H]-
LQB7124939,LQB00191;LQB00577,138136039,CCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC,9.851647,min,CKWQBCHPEQMNNL-UMWXEKTDSA-N,[M-H]-
LQB8105610,LQB00247;LQB00633,138136335,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(CO)O)OC(=O)CCCCCCCCC/C=C\C/C=C\C/C=C\CC,8.485966,min,CLWMQONPFNUMKX-SVNQLWEDSA-N,[M-H]-
LQB4342537,LQB00593;LQB00207,138136786,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC,12.32646,min,CNFXZBRCOHOJAB-PYQGTGCGSA-N,[M-H]-
LQB7225649,LQB00671;LQB00285,138138398,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OCC(COP(=O)(O)OCC(CO)O)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,8.009889,min,CSHJHZDRNJSEJU-LPEZNXMBSA-N,[M-H]-
LQB8235680,LQB00319;LQB00705,138139338,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(COP(=O)(O)OC1C(C(C(C(C1O)O)O)O)O)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,8.435534,min,CVDYOYNJWLXMAW-LKVUMQLBSA-N,[M-H]-
LQB4161127,LQB00573;LQB00187,138140034,CCCCCC/C=C\CCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC,8.820026,min,CXGZFWPMXPAZEA-NUNQZGBLSA-N,[M-H]-
LQB2997864,LQB00337;LQB00723,138142497,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(C(=O)O)N)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,8.495248,min,DERBZMCOPJTRSZ-GLWDABGQSA-N,[M-H]-
LQB3524603,LQB00690;LQB00304,138143153,CCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OC1C(C(C(C(C1O)O)O)O)O)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,8.259072,min,DGRNZNZECRXZCS-VZVMVVDZSA-N,[M-H]-
LQB7681592,LQB00699;LQB00313,138144195,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OC1C(C(C(C(C1O)O)O)O)O)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,8.653857,min,DJVOKHFQPGWUPK-HSBBONCLSA-N,[M-H]-
