accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type
EA59794823,EA271752;EA271759;EA271754;EA271757;EA271758;EA271753;EA271760,9554,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,12.6,min,SNGREZUHAYWORS-UHFFFAOYSA-N,[M-H]-
EA74157420,EA272053;EA272052;EA272058,9555,C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,15.2,min,PCIUEQPBYFRTEM-UHFFFAOYSA-N,[M-H]-
EA85713513,EA271357;EA271360;EA271353;EA271358;EA271359;EA271352,9777,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,5.1,min,YPJUNDFVDDCYIH-UHFFFAOYSA-N,[M-H]-
EA75551376,EA013862;EA013859;EA013863;EA013853;EA013860;EA013854;EA013855;EA013852;EA013861;EA013857;EA013858;EA013856,13624,C1=CC=C2C(=C1)NC(=N2)N,2.6,min,JWYUFVNJZUSCSM-UHFFFAOYSA-N,[M-H]-
EA85660843,EA008754;EA008756;EA008763;EA008762;EA008757;EA008761;EA008759;EA008758;EA008755;EA008752;EA008760;EA008753,15530,C1=C(C=C(C(=C1I)O)I)C#N,9.3,min,NRXQIUSYPAHGNM-UHFFFAOYSA-N,[M-H]-
EA08806587,EA002459;EA002457;EA002452;EA002453;EA002461;EA002455;EA002462;EA002460;EA002463;EA002454;EA002458;EA002456,15531,C1=C(C=C(C(=C1Br)O)Br)C#N,8.3,min,UPMXNNIRAGDFEH-UHFFFAOYSA-N,[M-H]-
EA71633315,EA008862;EA008863;EA008855;EA008858;EA008852;EA008856;EA008859;EA008861;EA008860;EA008854;EA008857;EA008853,15546,C1=CC=C(C=C1)N2C(=O)C(=C(C=N2)N)Cl,5.2,min,WYKYKTKDBLFHCY-UHFFFAOYSA-N,[M-H]-
EA68338875,EA028954;EA028960;EA028961;EA028952;EA028958;EA028956;EA028962;EA028955;EA028953;EA028959,16854,C1=CC(=C(C=C1NC(=O)N)Cl)Cl,8.5,min,CYESCLHCWJKRKM-UHFFFAOYSA-N,[M-H]-
EA10989470,EA030153;EA030159;EA030158;EA030154;EA030152,17520,C1=CC=C2C(=C1)C(=O)NS2,5.1,min,DMSMPAJRVJJAGA-UHFFFAOYSA-N,[M-H]-
EA83764525,EA292158;EA292160;EA292159;EA292153,18134,CCN(CC(=O)O)S(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,16.9,min,CKRXVVGETMYFIO-UHFFFAOYSA-N,[M-H]-
EA05603192,EA015659;EA015661;EA015660;EA015655;EA015654;EA015653;EA015658;EA015652,18752,COC(=O)NS(=O)(=O)C1=CC=C(C=C1)N,2.4,min,VGPYEHKOIGNJKV-UHFFFAOYSA-N,[M-H]-
EA89359022,EA029454;EA029461;EA029462;EA029453;EA029460;EA029455;EA029459;EA029456;EA029463;EA029457;EA029452;EA029458,19113,CNC(=O)NC1=CC(=C(C=C1)Cl)Cl,8.8,min,IDQHRQQSSQDLTR-UHFFFAOYSA-N,[M-H]-
EA50830427,EA032654;EA032657;EA032652;EA032660;EA032655;EA032658;EA032656;EA032663;EA032659;EA032661;EA032662;EA032653,19539,C1=CC=C(C=C1)OC2=CC=CC(=C2)C(=O)O,11.1,min,NXTDJHZGHOFSQG-UHFFFAOYSA-N,[M-H]-
EA43478426,EA270454;EA270452;EA270458;EA270461;EA270455;EA270459;EA270460;EA270453,23017,C1=C(C(=O)NC(=C1Cl)Cl)Cl,9.7,min,WCYYAQFQZQEUEN-UHFFFAOYSA-N,[M-H]-
EA75443932,EA013658;EA013660;EA013652;EA013653;EA013655;EA013659;EA013654;EA013661,27689,CCNC(=O)C(C)OC(=O)NC1=CC=CC=C1,6.5,min,AMRQXHFXNZFDCH-UHFFFAOYSA-N,[M-H]-
EA95483081,EA275660;EA275663;EA275658;EA275652;EA275656;EA275657;EA275661;EA275654;EA275655;EA275659;EA275662;EA275653,36573,CC1=CC(=O)NS(=O)(=O)O1,1.5,min,YGCFIWIQZPHFLU-UHFFFAOYSA-N,[M-H]-
EA07374771,EA273954;EA273960;EA273961;EA273955;EA273959;EA273962;EA273958;EA273952;EA273957;EA273953;EA273956,37907,CC(C)(C)C(=O)C(N1C=CN=C1)OC2=CC=C(C=C2)Cl,8.0,min,OWEGWHBOCFMBLP-UHFFFAOYSA-N,[M-H]-
EA04683616,EA005862;EA005855;EA005852;EA005854;EA005858;EA005857,38854,CC1=NN=C(C(=O)N1N)C2=CC=CC=C2,4.9,min,VHCNQEUWZYOAEV-UHFFFAOYSA-N,[M-H]-
EA03629206,EA020961;EA020959;EA020954;EA020953;EA020955;EA020958;EA020960;EA020962;EA020952;EA020956,39042,CC(C)(C(=O)O)OC1=CC=C(C=C1)CCNC(=O)C2=CC=C(C=C2)Cl,10.5,min,IIBYAHWJQTYFKB-UHFFFAOYSA-N,[M-H]-
EA02052881,EA020358;EA020352,39912,C[C@@H](C1=CC=C(C=C1)CC(C)C)C(=O)O,13.2,min,HEFNNWSXXWATRW-JTQLQIEISA-N,[M-H]-
EA70818608,EA009354;EA009352;EA009359;EA009358;EA009353,41909,CC(C)(C)C1=NNC(=O)N(C1=O)N,5.8,min,AHBXXEZLRFCZSF-UHFFFAOYSA-N,[M-H]-
EA38611212,EA013454;EA013462;EA013453;EA013461;EA013460;EA013463;EA013452;EA013456;EA013459;EA013457;EA013458;EA013455,50465,C(C(=O)O)OC1=NC(=C(C(=C1Cl)N)Cl)F,6.9,min,MEFQWPUMEMWTJP-UHFFFAOYSA-N,[M-H]-
EA12034336,EA012853;EA012854;EA012862;EA012858;EA012859;EA012863;EA012857;EA012856;EA012860;EA012852;EA012855;EA012861,52999,CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC,7.1,min,RSMUVYRMZCOLBH-UHFFFAOYSA-N,[M-H]-
EA27834122,EA285952;EA285953;EA285954;EA285960;EA285957;EA285956;EA285962;EA285959;EA285963;EA285961;EA285955;EA285958,54687,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@H](C[C@H](CC(=O)O)O)O)O,9.2,min,TUZYXOIXSAXUGO-PZAWKZKUSA-N,[M-H]-
EA55185319,EA280953;EA280955;EA280952;EA280956;EA280961;EA280963;EA280958;EA280962;EA280960;EA280959;EA280957;EA280954,56069,C[C@](CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,9.7,min,LKJPYSCBVHEWIU-KRWDZBQOSA-N,[M-H]-
EA21259690,EA260363;EA260353;EA260360;EA260357;EA260354;EA260356;EA260359;EA260355;EA260352;EA260361;EA260358;EA260362,60750,C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F,1.0,min,SDUQYLNIPVEERB-QPPQHZFASA-N,[M-H]-
EA51744649,EA281054;EA281059;EA281052;EA281061;EA281055;EA281063;EA281058;EA281062;EA281057;EA281053;EA281056;EA281060,60823,CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4,12.5,min,XUKUURHRXDUEBC-KAYWLYCHSA-N,[M-H]-
EA63734345,EA258356;EA258352;EA258353;EA258361;EA258358;EA258360;EA258362;EA258354;EA258359;EA258355,60846,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)[C@@H](C(C)C)C(=O)O,11.0,min,ACWBQPMHZXGDFX-QFIPXVFZSA-N,[M-H]-
EA11750221,EA069753,62936,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)O)O,3.9,min,PUQIRTNPJRFRCZ-UHFFFAOYSA-N,[M-H]-
EA37537997,EA033759;EA033762;EA033752;EA033756;EA033760;EA033754;EA033758;EA033763;EA033753;EA033761;EA033755,64929,CC(C)(C(=O)O)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,12.7,min,MQOBSOSZFYZQOK-UHFFFAOYSA-N,[M-H]-
EA21010062,EA024856;EA024855;EA024854;EA024861;EA024858;EA024860;EA024857;EA024862;EA024853;EA024859;EA024852,64952,CC(=O)NC1=CC=C(C=C1)S(=O)(=O)NC2=NC=CC=N2,3.8,min,NJIZUWGMNCUKGU-UHFFFAOYSA-N,[M-H]-
